,EVENT1,Condition,Sequence
0,1,ScrambledFace,face1
1,2,UprightFace,face2
2,3,ScrambledFace,face1
3,4,UprightFace,face2
4,5,InvertedFace,face3
5,6,InvertedFace,face3
6,7,InvertedFace,face3
7,8,ScrambledFace,face1
8,9,ScrambledFace,face1
9,10,ScrambledFace,face1
10,11,Object,face4
11,12,Object,face4
12,13,Object,face4
13,14,ScrambledFace,face1
14,15,ScrambledFace,face1
15,16,ScrambledFace,face1
16,17,Object,face4
17,18,InvertedFace,face3
18,19,InvertedFace,face3
19,20,InvertedFace,face3
20,21,Object,face4
21,22,UprightFace,face2
22,23,InvertedFace,face3
23,24,Object,face4
24,25,InvertedFace,face3
25,26,InvertedFace,face3
26,27,UprightFace,face2
27,28,Object,face4
28,29,UprightFace,face2
29,30,InvertedFace,face3
30,31,Object,face4
31,32,InvertedFace,face3
32,33,UprightFace,face2
33,34,Object,face4
34,35,InvertedFace,face3
35,36,Object,face4
36,37,UprightFace,face2
37,38,ScrambledFace,face1
38,39,InvertedFace,face3
39,40,UprightFace,face2
40,41,Object,face4
41,42,ScrambledFace,face1
42,43,UprightFace,face2
43,44,Object,face4
44,45,UprightFace,face2
45,46,ScrambledFace,face1
46,47,UprightFace,face2
47,48,Object,face4
48,49,UprightFace,face2
49,50,Object,face4
50,51,ScrambledFace,face1
51,52,ScrambledFace,face1
52,53,Object,face4
53,54,ScrambledFace,face1
54,55,UprightFace,face2
55,56,Object,face4
56,57,UprightFace,face2
57,58,ScrambledFace,face1
58,59,UprightFace,face2
59,60,ScrambledFace,face1
60,61,ScrambledFace,face1
61,62,Object,face4
62,63,InvertedFace,face3
63,64,ScrambledFace,face1
64,65,ScrambledFace,face1
65,66,UprightFace,face2
66,67,InvertedFace,face3
67,68,InvertedFace,face3
68,69,UprightFace,face2
69,70,InvertedFace,face3
70,71,UprightFace,face2
71,72,Object,face4
72,73,ScrambledFace,face1
73,74,UprightFace,face2
74,75,UprightFace,face2
75,76,InvertedFace,face3
76,77,InvertedFace,face3
77,78,InvertedFace,face3
78,79,Object,face4
79,80,Object,face4
